step,mean_return,std_return
1000,-294.036376663181,133.16108680931256
2000,-227.62880930949692,130.14202929931764
3000,-182.5683628237618,99.30250990613222
4000,-115.99076341904545,75.9982819566951
5000,-104.3007110223601,75.32781266017727
6000,-152.06197088229013,106.46134643793447
7000,-169.56359066767425,101.488650254816
8000,-173.1203507392508,100.32711990561238
9000,-183.1161367782093,93.37196216953033
10000,-180.35660510575372,93.46624710596886
11000,-144.77491381116704,68.17788456250227
12000,-137.38198649115563,70.64629322875017
13000,-137.204504948502,70.7231079204113
14000,-112.76553733787068,56.671071502801645
15000,-92.23603909275471,55.39756972257656
16000,-80.40591706414304,53.0632561370941
17000,-73.27313352155554,53.02909067646273
18000,-46.56758894624586,26.03078871162496
19000,-50.396756936660964,27.84491907609654
20000,-47.37358471495784,25.94095253038754
