step,mean_return,std_return
1000,-117.85566692058474,89.6992027628169
2000,-75.32342727799593,14.552163436086628
3000,-74.00542317819001,6.361255595575881
4000,-120.03605168386821,81.66749106866392
5000,-128.60499799314866,123.38715836818636
6000,-178.3296815145924,143.80961543769368
7000,-253.90911194383443,128.69924702265178
8000,-295.10164935380806,46.3097947148406
9000,-544.7323758352262,185.22320273630137
10000,-399.899083133859,136.75365759723738
11000,-405.73143664458286,117.03645033141261
12000,-227.90531240707827,97.48026641101964
13000,-159.19851633145862,127.1551781593336
14000,-179.43459816932787,86.46189242585106
15000,-212.79598939020667,94.36332435418598
16000,-289.7778889666295,159.7191067182259
17000,-179.8222213119471,132.58065138684222
18000,-250.4237627512276,76.32173239055332
19000,-275.223906841646,74.94510523375588
20000,-212.9951800006867,30.98754120459209
