step,mean_return,std_return
1000,-196.44994743926037,120.03220579710697
2000,-424.54296688867134,279.55158193189703
3000,-324.90361599728664,240.94775490363196
4000,-204.57788227574753,146.10434678908106
5000,-177.6358452075096,120.38024998533858
6000,-198.91840372052403,149.65947786053601
7000,-245.33560345383574,143.0370636731738
8000,-251.36416662519005,143.64284554853094
9000,-268.4477305117591,141.7694382645811
10000,-271.83771591797023,138.2553208149748
11000,-276.95278353213195,133.92902024593604
12000,-218.6671631533355,113.10130659708967
13000,-230.60160898240892,134.46112673190413
14000,-210.82451829446055,138.33286178316632
15000,-215.7060197147702,134.81623573412907
16000,-196.36413619399812,131.74103339328036
17000,-187.56284963783293,137.87905090153154
18000,-176.5536814564664,141.9889531634331
19000,-176.42514517811264,142.02477962255594
20000,-177.8420710866026,141.23239025488766
